id,title,date,article_url,place_of_accident,district,number_of_deaths,number_of_injured,vehicle_type,cause_of_accident,country,report_type,type_of_accident,accident_date,accident_time,month,month_num,condition,accident_hour,month_name,cause_of_accident_normalized
79,3 killed in Lalmonirhat road accident,2023-06-03 11:44:10,https://en.prothomalo.com/bangladesh/accident/ghrigz3nw4,lalmonirhat-burimari highway in kaliganj upazila,Lalmonirhat,3,6,Truck And Cng-Run Auto-Rickshaw,truck rammed into a cng-run auto-rickshaw,Bangladesh,event,road accident,2023-06-03,11:44:10,Jun,6,Light rain,11,Jun,truck rammed into a cngrun autorickshaw
80,2 killed in separate city accidents,2023-06-02 15:00:15,https://en.prothomalo.com/bangladesh/accident/yzn70z5qyf,jatrabari chourasta mor,Dhaka,2,0,Bus,bus hit miraz and fled the scene,Bangladesh,event,road accident,2023-06-02,15:00:15,Jun,6,Light rain,15,Jun,bus hit miraz and fled the scene
83,Two college students killed in Kushtia road accident,2023-05-25 20:30:04,https://en.prothomalo.com/bangladesh/accident/9xly1owkch,paikpara mirzapur village,Kushtia,2,0,Motorbike And Bus,head-on collision,Bangladesh,event,road accident,2023-05-25,20:30:04,May,5,Heavy rain,20,May,head-on collision
84,Three killed in Jhenaidah road accident,2023-05-05 11:25:00,https://en.prothomalo.com/bangladesh/accident/wt082mzzrn,kotchandpur upazila,Jhenaidah,3,7,Battery-Run Van And Pick-Up Van,collision,Bangladesh,event,road accident,2023-05-05,11:25:00,May,5,Light rain,11,May,collision
86,"Police SI, ACC official killed in Barishal road accident",2023-04-23 10:13:47,https://en.prothomalo.com/bangladesh/accident/n8aa9tej5l,barishal-jhalokathi highway,Barishal,2,0,"Bus, Motorcycle",speeding bus rammed into motorcycle,Bangladesh,event,road accident,2023-04-23,10:13:47,Apr,4,Light rain,10,Apr,speeding bus rammed into motorcycle
89,Motorcyclist killed in Bhola road accident,2023-04-10 15:31:05,https://en.prothomalo.com/bangladesh/accident/bekkqkkzqp,howladar market area,Bhola,1,1,"Motorcycle, Road Roller",lost control over the bike and hit a standing road roller,Bangladesh,event,road accident,2023-04-10,15:31:05,Apr,4,Smoke,15,Apr,lost control over the bike and hit a standing road roller
92,Four reasons behind Madaripur road accident,2023-03-23 22:17:00,https://en.prothomalo.com/bangladesh/accident/eucfsdzmlg,padma bridge expressway,Munshiganj,0,0,Bus,"lacking in professionalism, reckless driving, driver's inefficiency to drive the heavy vehicle",Bangladesh,event,road accident,2023-03-23,22:17:00,Mar,3,Light rain,22,Mar,lacking in professionalism reckless driving drivers inefficiency to drive the heavy vehicle
93,"Transport minister should step down over Madaripur accident: BNP

",2023-03-21 15:54:06,https://en.prothomalo.com/bangladesh/politics/nbt5usiy21,padma bridge expressway,Madaripur,21,0,Bus,fitness certificate and route permit issues,Bangladesh,event,road accident,2023-03-21,15:54:06,Mar,3,Heavy rain,15,Mar,fitness certificate and route permit issues
95,Three killed in Dinajpur road accident,2023-03-21 09:47:11,https://en.prothomalo.com/bangladesh/accident/66q77hg4w7,"dinajpur-rangpur highway, in front of the darbarpur jame masjid",Dinajpur,3,8,"Pickup Van, Bus",crash,Bangladesh,event,road accident,2023-03-21,09:47:11,Mar,3,Light rain,9,Mar,crash
96,Driver's exhaustion lead to accident,2023-03-20 20:00:44,https://en.prothomalo.com/bangladesh/accident/2a0cqmc7kn,padma bridge expressway in kutubpur under shibpur upazila of madaripur,Madaripur,19,0,Bus,speeding and exhaustion,Bangladesh,event,road accident,2023-03-20,20:00:44,Mar,3,Moderate rain,20,Mar,speeding and exhaustion
97,Bus conductor killed in city road accident,2023-03-20 15:54:22,https://en.prothomalo.com/bangladesh/accident/n07mfq5eqa,azimpur bus stand,Dhaka,1,0,Bus,knocked down by an unidentified vehicle,Bangladesh,event,road accident,2023-03-20,15:54:22,Mar,3,Heavy rain,15,Mar,knocked down by an unidentified vehicle
99,"Emad Paribahan bus: Route permit was suspended, involved in accident earlier",2023-03-19 20:11:36,https://en.prothomalo.com/bangladesh/fumgm71qkk,padma bridge expressway at shibchar,Madaripur,19,25,Bus,driver lost control,Bangladesh,event,road accident,2023-03-19,20:11:36,Mar,3,Moderate rain,20,Mar,driver lost control
100,"Shibchar bus accident: Two die at Dhaka Medical, death toll rises to 19",2023-03-19 15:24:53,https://en.prothomalo.com/bangladesh/accident/pjq80wq6fj,shibchar,Madaripur,19,2,,,Bangladesh,event,road accident,2023-03-19,15:24:53,Mar,3,Moderate rain,15,Mar,
101,Two killed in separate accidents in Sylhet,2023-03-14 09:15:48,https://en.prothomalo.com/bangladesh/accident/xfm3omxiik,goalabazar,Sylhet,1,0,Local Bus,fell from a moving bus,Bangladesh,event,road accident,2023-03-14,09:15:48,Mar,3,Partly cloudy,9,Mar,fell from a moving bus
102,4 dead as microbus catches fire after accident in Mymensingh,2023-03-13 11:48:49,https://en.prothomalo.com/bangladesh/accident/dawjry8qtu,dhaka-mymensingh highway in trishal upazila,Mymensingh,4,7,Microbus,overturned and caught fire,Bangladesh,event,road accident,2023-03-13,11:48:49,Mar,3,Mainly clear,11,Mar,overturned and caught fire
103,"2 women killed in separate road accidents in Dinajpur

",2023-03-10 22:56:51,https://en.prothomalo.com/bangladesh/accident/urw6qun2ar,chirirbandar upazila and nawabganj upazila,Dinajpur,2,0,,,Bangladesh,event,road accident,2023-03-10,22:56:51,Mar,3,Partly cloudy,22,Mar,
105,"Five killed in road accidents in Tangail, Lalmonirhat",2023-03-02 09:14:34,https://en.prothomalo.com/bangladesh/accident/qh8h0ip1xd,analiabari area of bangabandu bridge link road under kalihati upazila,Tangail,3,15,Pick-Up Van,lost control and fell into a roadside ditch,Bangladesh,event,road accident,2023-03-02,09:14:34,Mar,3,Clear sky,9,Mar,lost control and fell into a roadside ditch
108,Five killed in Narsingdi road accident,2023-02-26 16:54:30,https://en.prothomalo.com/bangladesh/accident/i8ddjv1sx2,bhatpara shakurar intersection,Narsingdi,5,9,,,Bangladesh,event,road accident,2023-02-26,16:54:30,Feb,2,Clear sky,16,Feb,
109,Road accident kills five Bangladeshi nationals in South Africa,2023-02-24 19:05:09,https://en.prothomalo.com/bangladesh/ic1ls2t9ny,south africa,Feni,5,2,,,Bangladesh,event,road accident,2023-02-24,19:05:09,Feb,2,Partly cloudy,19,Feb,
110,"Road accidents leave 3, including 2 siblings, dead",2023-02-05 15:53:11,https://en.prothomalo.com/bangladesh/accident/lti0brylkr,mokamtala and kalibala areas,,3,20,,,Bangladesh,event,road accident,2023-02-05,15:53:11,Feb,2,,15,Feb,
118,Road accidents kill 2 in Sirajganj,2023-01-07 20:49:04,https://en.prothomalo.com/bangladesh/accident/rbltn31q7z,mulibari railgate area,Sirajganj,2,4,Truck,hit by a truck,Bangladesh,event,road accident,2023-01-07,20:49:04,Jan,1,Clear sky,20,Jan,hit by a truck
119,Magura road accident leaves one dead,2023-01-02 15:54:48,https://en.prothomalo.com/bangladesh/accident/w2zzcen74q,mohammadpur upazila,Dhaka,1,1,"Motorcycle, Three-Wheeler, Auto-Rickshaw",collision,Bangladesh,event,road accident,2023-01-02,15:54:48,Jan,1,Clear sky,15,Jan,collision
123,Two killed in Kushtia road accident,2022-12-25 11:20:50,https://en.prothomalo.com/bangladesh/accident/dod4w3hr4c,shyamnagar market area,Kushtia,2,0,"Motorcycle, Trolley",motorcycle collided with a trolley,Bangladesh,event,road accident,2022-12-25,11:20:50,Dec,12,Clear sky,11,Dec,motorcycle collided with a trolley
124,"Road accidents in Kurigram, Savar kill five",2022-12-24 19:04:01,https://en.prothomalo.com/bangladesh/accident/fcppmtvwqr,trimohini area of the kurigram-rangpur road and on phulbari-dharla road in phulbari upazila,Kurigram,5,5,"Bus, Auto-Rickshaw",vehicle lost control and rammed into another vehicle and a grocery store,Bangladesh,event,road accident,2022-12-24,19:04:01,Dec,12,Partly cloudy,19,Dec,vehicle lost control and rammed into another vehicle and a grocery store
127,Three of a family killed in Madaripur accident,2022-12-04 09:34:32,https://en.prothomalo.com/bangladesh/accident/k24j74j6xa,madaripur,Madaripur,3,0,Tractor,tractor overturned and fell into a canal,Bangladesh,event,road accident,2022-12-04,09:34:32,Dec,12,Clear sky,9,Dec,tractor overturned and fell into a canal
128,Accident on DU campus: Driver sued under road transport act,2022-12-03 11:07:35,https://en.prothomalo.com/bangladesh/city/sx58w2j5ph,dhaka university campus,Dhaka,1,0,Car,reckless driving,Bangladesh,event,road accident,2022-12-03,11:07:35,Dec,12,Clear sky,11,Dec,reckless driving
129,Three killed in Chandpur road accident,2022-11-27 12:44:54,https://en.prothomalo.com/bangladesh/accident/g96orf0y45,beribadh road in bagan bari union,Chandpur,3,0,Bike And Trolley Truck,head-on collision,Bangladesh,event,road accident,2022-11-27,12:44:54,Nov,11,Clear sky,12,Nov,head-on collision
131,Four killed in road accident in Cumilla,2022-10-31 20:15:38,https://en.prothomalo.com/bangladesh/accident/a18fsxnc96,katerpool area,Cumilla,4,2,"Pick-Up Van, Cng-Run Auto Rickshaw, Bus","reckless bus hit pick-up van from behind, causing it to run over an auto rickshaw",Bangladesh,event,road accident,2022-10-31,20:15:38,Oct,10,Dust or sand whirls,20,Oct,reckless bus hit pickup van from behind causing it to run over an auto rickshaw
132,Four killed in Gazipur road accident,2022-10-15 11:48:53,https://en.prothomalo.com/bangladesh/accident/ni38r7x7im,dhaka-mymensingh highway in telipara,Gazipur,4,0,"Rickshaw Van, Buses",vehicle was pressed in between two buses,Bangladesh,event,road accident,2022-10-15,11:48:53,Oct,10,Mainly clear,11,Oct,vehicle was pressed in between two buses
135,"3 killed, 9 injured in Sirajganj microbus accident",2022-10-04 14:17:59,https://en.prothomalo.com/bangladesh/accident/9ogz0539cc,sirajganj flyover,Sirajganj,3,9,"Microbus, Bus","speeding bus hit microbus, crashed into railing",Bangladesh,event,road accident,2022-10-04,14:17:59,Oct,10,Moderate rain,14,Oct,speeding bus hit microbus crashed into railing
139,"Zebra crossing, speed breaker on road after CU teacher’s death in accident",2022-09-03 21:38:07,https://en.prothomalo.com/bangladesh/accident/v4nwnlpxa8,university's gate no. 1 area,Chattogram,1,0,Microbus,,Bangladesh,event,road accident,2022-09-03,21:38:07,Sep,9,Moderate rain,21,Sep,
142,Female college student killed in road accident on Hanif flyover   ,2022-08-30 20:30:40,https://en.prothomalo.com/bangladesh/accident/wutt7skjp9,"mayor hanif flyover, sayedabad area",Dhaka,1,0,Motorcycle,vehicle hit motorbike,Bangladesh,event,road accident,2022-08-30,20:30:40,Aug,8,Partly cloudy,20,Aug,vehicle hit motorbike
143,School girl killed in city road accident,2022-08-24 13:57:39,https://en.prothomalo.com/bangladesh/accident/hnela78bm6,jurain area,Dhaka,1,1,Auto Rickshaw,speeding,Bangladesh,event,road accident,2022-08-24,13:57:39,Aug,8,Light rain,13,Aug,speeding
145,"Five deaths: It’s murder, not accident",2022-08-17 20:55:17,https://en.prothomalo.com/bangladesh/gi1lc3v7th,"brt project, dhaka’s hazrat shahjalal international airport to gazipur",Gazipur,5,0,Car,"indiscipline, negligence and carelessness",Bangladesh,event,road accident,2022-08-17,20:55:17,Aug,8,Light rain,20,Aug,indiscipline negligence and carelessness
146,"Project plagued with negligence, cost overrun and accidents ",2022-08-16 16:22:41,https://en.prothomalo.com/bangladesh/city/ws3g50ngxd,"jasimuddin road area in uttara, airport road",Dhaka,5,0,"Car, Flyover Girders",collapse of brt flyover girders,Bangladesh,event,road accident,2022-08-16,16:22:41,Aug,8,Moderate rain,16,Aug,collapse of brt flyover girders
147,2 bikers killed in Pabna accident,2022-08-14 10:55:32,https://en.prothomalo.com/bangladesh/accident/pvykx4zcd6,pabna-pakshi highway,Pabna,2,0,"Truck, Motorcycle",speeding truck hit their motorcycle,Bangladesh,event,road accident,2022-08-14,10:55:32,Aug,8,Moderate rain,10,Aug,speeding truck hit their motorcycle
148,75-yr-old killed in road accident in Dhaka,2022-08-10 13:30:04,https://en.prothomalo.com/bangladesh/accident/wa3qhqgjrs,shyampur in the city’s jurain area,Dhaka,1,0,Truck,hit by a truck,Bangladesh,event,road accident,2022-08-10,13:30:04,Aug,8,Moderate rain,13,Aug,hit by a truck
153,Couple among three killed in Cumilla road accident,2022-07-24 14:09:51,https://en.prothomalo.com/bangladesh/accident/qeg2bik9ln,dhaka-chattogram highway in illiotganj area,Dhaka,3,0,Car,hit a roadside tree,Bangladesh,event,road accident,2022-07-24,14:09:51,Jul,7,Moderate rain,14,Jul,hit a roadside tree
155,Worker killed in Kurigram road accident,2022-07-22 13:00:35,https://en.prothomalo.com/bangladesh/accident/qvyz83oyrr,chandipur bridge,Kurigram,1,0,Truck,driver lost control of the vehicle,Bangladesh,event,road accident,2022-07-22,13:00:35,Jul,7,Moderate rain,13,Jul,driver lost control of the vehicle
159,Road accident kills three in Tangail ,2022-07-16 11:40:48,https://en.prothomalo.com/bangladesh/local-news/1nwvs8zhyn,mirzapur,Tangail,3,20,Passenger Bus And Parked Truck,passenger bus rammed into a parked truck,Bangladesh,event,road accident,2022-07-16,11:40:48,Jul,7,Light rain,11,Jul,passenger bus rammed into a parked truck
160,"Three killed in Gazipur flyover road accident
",2022-07-15 15:50:06,https://en.prothomalo.com/bangladesh/accident/1w560y6b4j,konabari flyover,Gazipur,3,1,"Car, Motorcycle",collision,Bangladesh,event,road accident,2022-07-15,15:50:06,Jul,7,Heavy rain,15,Jul,collision
161,Three youths killed in Dinajpur road accident,2022-07-13 18:38:07,https://en.prothomalo.com/bangladesh/accident/60tm6706yp,dinajpur sadar upazila,Dinajpur,3,2,Car,fell into a roadside ditch,Bangladesh,event,road accident,2022-07-13,18:38:07,Jul,7,Light rain,18,Jul,fell into a roadside ditch
162,Three killed in Keraniganj road accident,2022-07-10 14:28:31,https://en.prothomalo.com/bangladesh/city/three-killed-in-keraniganj-road-accident,dhaka-mawa highway,Dhaka,3,0,"Pickup Van, Truck",truck hit their vehicle,Bangladesh,event,road accident,2022-07-10,14:28:31,Jul,7,Light rain,14,Jul,truck hit their vehicle
164,Road accident kills four in Tangail,2022-07-09 13:16:20,https://en.prothomalo.com/bangladesh/local-news/road-accident-kills-four-in-tangail,dhanbari,Tangail,4,0,"Bus, Van",bus hit their van,Bangladesh,event,road accident,2022-07-09,13:16:20,Jul,7,Light rain,13,Jul,bus hit their van
165,Two killed in Faridpur road accident,2022-07-08 10:43:24,https://en.prothomalo.com/bangladesh/accident/two-killed-in-faridpur-road-accident,"dhaka-khulna highway, arkandi area, madhukhali upazila",Faridpur,2,0,"Auto-Rickshaw, Truck",speeding truck hit auto-rickshaw,Bangladesh,event,road accident,2022-07-08,10:43:24,Jul,7,Moderate rain,10,Jul,speeding truck hit autorickshaw
167,Man killed in Chapainawabganj road accident,2022-07-04 13:02:02,https://en.prothomalo.com/bangladesh/accident/man-killed-in-chapainawabganj-road-accident,moharajpur chowdhurypara intersection,Nawabganj,1,0,,,Bangladesh,event,road accident,2022-07-04,13:02:02,Jul,7,Moderate rain,13,Jul,
168,2 motorcyclists die in first accident on Padma Bridge,2022-06-27 11:23:35,https://en.prothomalo.com/bangladesh/accident/2-motorcyclists-die-in-first-accident-on-padma-bridge,padma bridge,,2,0,Motorcycle,,Bangladesh,event,road accident,2022-06-27,11:23:35,Jun,6,,11,Jun,
169,Bangladesh counts highest death rates from bike accidents ,2022-06-18 00:04:08,https://en.prothomalo.com/bangladesh/accident/bangladesh-counts-highest-death-rates-from-bike-accidents,amtali bridge,Sherpur,1,0,Motorcycle,lost control and fell,Bangladesh,event,road accident,2022-06-18,00:04:08,Jun,6,Heavy rain,0,Jun,lost control and fell
172,Seven killed in road accidents in three districts,2022-06-04 08:39:33,https://en.prothomalo.com/bangladesh/accident/seven-killed-in-road-accidents-in-three-districts,teghoria,Dhaka,5,1,"Cng-Run Auto-Rickshaw, Lorry",collision,Bangladesh,event,road accident,2022-06-04,08:39:33,Jun,6,Light rain,8,Jun,collision
174,"Two killed, 11 injured in Khulna road accident",2022-06-01 13:07:08,https://en.prothomalo.com/bangladesh/accident/two-killed-11-injured-in-khulna-road-accident,gutudia area of dumuria upazila,Khulna,2,11,"Bus, Bike",speeding bus hit a bike before plunging into a roadside ditch,Bangladesh,event,road accident,2022-06-01,13:07:08,Jun,6,Heavy rain,13,Jun,speeding bus hit a bike before plunging into a roadside ditch
175,Policeman killed in city road accident,2022-05-31 16:18:44,https://en.prothomalo.com/bangladesh/accident/policeman-killed-in-city-road-accident,kakrail crossing,Dhaka,1,0,"Motorcycle, Covered Van",covered van hit his motorcycle,Bangladesh,event,road accident,2022-05-31,16:18:44,May,5,Moderate rain,16,May,covered van hit his motorcycle
177,ASI killed in road accident in Chattogram,2022-05-20 22:41:27,https://en.prothomalo.com/bangladesh/accident/asi-killed-in-road-accident-in-chattogram,cement crossing area,Chattogram,1,0,,on duty,Bangladesh,event,road accident,2022-05-20,22:41:27,May,5,Moderate rain,22,May,on duty
179,7 killed in Gopalganj road accident,2022-05-14 13:00:22,https://en.prothomalo.com/bangladesh/accident/7-killed-in-gopalganj-road-accident,south fukra area,Gopalganj,7,0,"Bus, Private Car, Motorcycle",collision,Bangladesh,event,road accident,2022-05-14,13:00:22,May,5,Light rain,13,May,collision
180,Two teens killed in Munshiganj car accident,2022-05-14 11:48:28,https://en.prothomalo.com/bangladesh/accident/two-teens-killed-in-munshiganj-car-accident,tongibari upazila,Munshiganj,2,1,Car,plunged into a canal,Bangladesh,event,road accident,2022-05-14,11:48:28,May,5,Light rain,11,May,plunged into a canal
181,830 killed in motorcycle accidents in four months,2022-05-09 13:39:58,https://en.prothomalo.com/bangladesh/accident/830-killed-in-motorcycle-accidents-in-four-months,national institute of traumatology and orthopaedic rehabilitation (nitor),Dhaka,0,16,Motorcycle,,Bangladesh,event,road accident,2022-05-09,13:39:58,May,5,Light rain,13,May,
